trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
36.0873642,-115.17719269,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:01:2D,,infra,,2,0,?,?,?,False,100,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08793259,-115.1781311,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 16:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:01:4D,,infra,,2,0,?,?,?,False,108,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08805084,-115.17822266,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:01:6D,,infra,,2,0,?,?,?,False,124,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08765411,-115.17608643,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:01:8D,,infra,,2,0,?,?,?,False,104,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08763123,-115.17844391,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 10:00:00+00:00,2024-06-03 11:00:00+00:00,88:9C:AD:41:01:AD,,infra,,2,0,?,?,?,False,124,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08727264,-115.1778717,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:01:CD,,infra,,2,0,?,?,?,False,112,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08758163,-115.17842865,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 10:00:00+00:00,2024-06-03 11:00:00+00:00,88:9C:AD:41:01:ED,,infra,,2,0,?,?,?,False,144,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08780289,-115.17835999,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 20:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:02:2D,,infra,,2,0,?,?,?,False,144,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08771133,-115.17714691,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:02:6D,,infra,,2,0,?,?,?,False,100,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08805847,-115.17658234,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,88:9C:AD:41:02:8D,,infra,,2,0,?,?,?,False,140,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
